critic_score,critic_banda,id_rating_critico
9.4,Alto,1
9.7,Alto,2
9.6,Alto,3
,Sin dato,4
8.1,Alto,5
8.7,Alto,6
8.8,Alto,7
9.8,Alto,8
8.4,Alto,9
8.0,Alto,10
9.5,Alto,11
8.3,Alto,12
10.0,Alto,13
8.9,Alto,14
6.9,Medio,15
7.5,Medio,16
9.3,Alto,17
9.0,Alto,18
7.9,Medio,19
8.6,Alto,20
8.5,Alto,21
7.1,Medio,22
9.1,Alto,23
9.2,Alto,24
6.6,Medio,25
8.2,Alto,26
7.6,Medio,27
5.9,Medio,28
7.0,Medio,29
7.8,Medio,30
7.7,Medio,31
6.8,Medio,32
5.6,Medio,33
4.2,Bajo,34
7.4,Medio,35
7.3,Medio,36
6.7,Medio,37
7.2,Medio,38
6.1,Medio,39
6.2,Medio,40
3.5,Bajo,41
3.0,Bajo,42
3.6,Bajo,43
6.5,Medio,44
2.6,Bajo,45
6.0,Medio,46
5.5,Medio,47
5.8,Medio,48
4.8,Bajo,49
5.4,Medio,50
6.3,Medio,51
6.4,Medio,52
4.4,Bajo,53
3.2,Bajo,54
5.0,Medio,55
3.8,Bajo,56
5.1,Medio,57
4.3,Bajo,58
4.5,Bajo,59
4.9,Bajo,60
5.3,Medio,61
4.6,Bajo,62
5.7,Medio,63
2.9,Bajo,64
4.7,Bajo,65
1.7,Bajo,66
4.1,Bajo,67
4.0,Bajo,68
3.9,Bajo,69
5.2,Medio,70
3.7,Bajo,71
2.8,Bajo,72
3.1,Bajo,73
3.3,Bajo,74
1.9,Bajo,75
2.5,Bajo,76
2.4,Bajo,77
2.0,Bajo,78
2.7,Bajo,79
3.4,Bajo,80
2.3,Bajo,81
1.5,Bajo,82
1.0,Bajo,83
2.2,Bajo,84
1.4,Bajo,85
1.3,Bajo,86
9.9,Alto,87
1.2,Bajo,88
1.8,Bajo,89
2.1,Bajo,90
