año,decada,era,mes,id_tiempo
2013.0,2010.0,Contemporánea,9.0,1
2014.0,2010.0,Contemporánea,11.0,2
2002.0,2000.0,Moderna,10.0,3
2015.0,2010.0,Contemporánea,11.0,4
2011.0,2010.0,Contemporánea,11.0,5
2010.0,2010.0,Moderna,11.0,6
2018.0,2010.0,Contemporánea,10.0,7
2012.0,2010.0,Contemporánea,11.0,8
2009.0,2000.0,Moderna,11.0,9
2017.0,2010.0,Contemporánea,11.0,10
2001.0,2000.0,Moderna,10.0,11
2017.0,2010.0,Contemporánea,9.0,12
2008.0,2000.0,Moderna,4.0,13
2016.0,2010.0,Contemporánea,9.0,14
2013.0,2010.0,Contemporánea,11.0,15
2010.0,2010.0,Moderna,9.0,16
2007.0,2000.0,Moderna,11.0,17
2018.0,2010.0,Contemporánea,9.0,18
2016.0,2010.0,Contemporánea,11.0,19
2015.0,2010.0,Contemporánea,9.0,20
2012.0,2010.0,Contemporánea,9.0,21
2009.0,2000.0,Moderna,6.0,22
2005.0,2000.0,Moderna,10.0,23
2008.0,2000.0,Moderna,11.0,24
2011.0,2010.0,Contemporánea,10.0,25
2016.0,2010.0,Contemporánea,10.0,26
2003.0,2000.0,Moderna,11.0,27
2004.0,2000.0,Moderna,11.0,28
2012.0,2010.0,Contemporánea,10.0,29
2002.0,2000.0,Moderna,5.0,30
2009.0,2000.0,Moderna,10.0,31
2011.0,2010.0,Contemporánea,9.0,32
2010.0,2010.0,Moderna,5.0,33
2014.0,2010.0,Contemporánea,10.0,34
2014.0,2010.0,Contemporánea,9.0,35
1999.0,1990.0,Clásica,6.0,36
2014.0,2010.0,Contemporánea,5.0,37
1996.0,1990.0,Clásica,8.0,38
2006.0,2000.0,Moderna,9.0,39
2010.0,2010.0,Moderna,3.0,40
1997.0,1990.0,Clásica,10.0,41
2003.0,2000.0,Moderna,8.0,42
1996.0,1990.0,Clásica,10.0,43
2006.0,2000.0,Moderna,11.0,44
2008.0,2000.0,Moderna,1.0,45
2010.0,2010.0,Moderna,10.0,46
2009.0,2000.0,Moderna,3.0,47
2006.0,2000.0,Moderna,10.0,48
1999.0,1990.0,Clásica,8.0,49
1999.0,1990.0,Clásica,5.0,50
2007.0,2000.0,Moderna,10.0,51
2008.0,2000.0,Moderna,10.0,52
2005.0,2000.0,Moderna,8.0,53
2017.0,2010.0,Contemporánea,6.0,54
1999.0,1990.0,Clásica,9.0,55
2000.0,2000.0,Clásica,11.0,56
2003.0,2000.0,Moderna,9.0,57
2000.0,2000.0,Clásica,9.0,58
1996.0,1990.0,Clásica,11.0,59
2016.0,2010.0,Contemporánea,5.0,60
2004.0,2000.0,Moderna,8.0,61
2002.0,2000.0,Moderna,4.0,62
2009.0,2000.0,Moderna,7.0,63
2007.0,2000.0,Moderna,2.0,64
2016.0,2010.0,Contemporánea,3.0,65
2005.0,2000.0,Moderna,11.0,66
2015.0,2010.0,Contemporánea,12.0,67
1981.0,1980.0,Retro,1.0,68
2009.0,2000.0,Moderna,8.0,69
2001.0,2000.0,Moderna,6.0,70
2009.0,2000.0,Moderna,2.0,71
1989.0,1980.0,Retro,6.0,72
1997.0,1990.0,Clásica,9.0,73
2002.0,2000.0,Moderna,8.0,74
2015.0,2010.0,Contemporánea,6.0,75
2007.0,2000.0,Moderna,8.0,76
2017.0,2010.0,Contemporánea,10.0,77
2006.0,2000.0,Moderna,2.0,78
2007.0,2000.0,Moderna,5.0,79
1997.0,1990.0,Clásica,1.0,80
2000.0,2000.0,Clásica,10.0,81
2018.0,2010.0,Contemporánea,3.0,82
2013.0,2010.0,Contemporánea,10.0,83
2003.0,2000.0,Moderna,10.0,84
2005.0,2000.0,Moderna,2.0,85
1996.0,1990.0,Clásica,7.0,86
2008.0,2000.0,Moderna,6.0,87
2002.0,2000.0,Moderna,9.0,88
2004.0,2000.0,Moderna,10.0,89
2007.0,2000.0,Moderna,9.0,90
2005.0,2000.0,Moderna,6.0,91
2001.0,2000.0,Moderna,12.0,92
2008.0,2000.0,Moderna,3.0,93
2001.0,2000.0,Moderna,11.0,94
2004.0,2000.0,Moderna,9.0,95
1994.0,1990.0,Clásica,9.0,96
2015.0,2010.0,Contemporánea,10.0,97
2000.0,2000.0,Clásica,3.0,98
2003.0,2000.0,Moderna,1.0,99
1998.0,1990.0,Clásica,11.0,100
2006.0,2000.0,Moderna,6.0,101
2005.0,2000.0,Moderna,4.0,102
2015.0,2010.0,Contemporánea,4.0,103
2008.0,2000.0,Moderna,9.0,104
2011.0,2010.0,Contemporánea,1.0,105
1999.0,1990.0,Clásica,10.0,106
2004.0,2000.0,Moderna,6.0,107
2002.0,2000.0,Moderna,11.0,108
1998.0,1990.0,Clásica,7.0,109
2005.0,2000.0,Moderna,5.0,110
2015.0,2010.0,Contemporánea,8.0,111
2016.0,2010.0,Contemporánea,8.0,112
2012.0,2010.0,Contemporánea,12.0,113
1999.0,1990.0,Clásica,11.0,114
2003.0,2000.0,Moderna,5.0,115
2000.0,2000.0,Clásica,8.0,116
2007.0,2000.0,Moderna,3.0,117
1998.0,1990.0,Clásica,3.0,118
2017.0,2010.0,Contemporánea,3.0,119
2014.0,2010.0,Contemporánea,3.0,120
2010.0,2010.0,Moderna,1.0,121
2001.0,2000.0,Moderna,8.0,122
2002.0,2000.0,Moderna,3.0,123
2013.0,2010.0,Contemporánea,1.0,124
2012.0,2010.0,Contemporánea,3.0,125
1995.0,1990.0,Clásica,9.0,126
2003.0,2000.0,Moderna,3.0,127
2001.0,2000.0,Moderna,7.0,128
2012.0,2010.0,Contemporánea,8.0,129
2011.0,2010.0,Contemporánea,4.0,130
2000.0,2000.0,Clásica,1.0,131
2002.0,2000.0,Moderna,6.0,132
2014.0,2010.0,Contemporánea,8.0,133
2011.0,2010.0,Contemporánea,2.0,134
1996.0,1990.0,Clásica,9.0,135
1998.0,1990.0,Clásica,5.0,136
1998.0,1990.0,Clásica,10.0,137
2016.0,2010.0,Contemporánea,2.0,138
2011.0,2010.0,Contemporánea,8.0,139
2010.0,2010.0,Moderna,8.0,140
1993.0,1990.0,Clásica,9.0,141
2012.0,2010.0,Contemporánea,1.0,142
2003.0,2000.0,Moderna,4.0,143
2009.0,2000.0,Moderna,9.0,144
2004.0,2000.0,Moderna,7.0,145
2017.0,2010.0,Contemporánea,8.0,146
1990.0,1990.0,Retro,12.0,147
2008.0,2000.0,Moderna,8.0,148
2001.0,2000.0,Moderna,5.0,149
2013.0,2010.0,Contemporánea,3.0,150
2010.0,2010.0,Moderna,6.0,151
2015.0,2010.0,Contemporánea,1.0,152
2003.0,2000.0,Moderna,12.0,153
2001.0,2000.0,Moderna,2.0,154
1997.0,1990.0,Clásica,3.0,155
1995.0,1990.0,Clásica,1.0,156
1994.0,1990.0,Clásica,1.0,157
2013.0,2010.0,Contemporánea,8.0,158
1998.0,1990.0,Clásica,6.0,159
2008.0,2000.0,Moderna,12.0,160
1999.0,1990.0,Clásica,3.0,161
2004.0,2000.0,Moderna,2.0,162
2002.0,2000.0,Moderna,2.0,163
2018.0,2010.0,Contemporánea,11.0,164
2007.0,2000.0,Moderna,4.0,165
2018.0,2010.0,Contemporánea,8.0,166
2010.0,2010.0,Moderna,2.0,167
1988.0,1980.0,Retro,1.0,168
2003.0,2000.0,Moderna,7.0,169
2017.0,2010.0,Contemporánea,12.0,170
2001.0,2000.0,Moderna,3.0,171
2000.0,2000.0,Clásica,2.0,172
2015.0,2010.0,Contemporánea,3.0,173
1993.0,1990.0,Clásica,1.0,174
1982.0,1980.0,Retro,1.0,175
2010.0,2010.0,Moderna,4.0,176
2009.0,2000.0,Moderna,5.0,177
1989.0,1980.0,Retro,7.0,178
2008.0,2000.0,Moderna,7.0,179
2016.0,2010.0,Contemporánea,7.0,180
2007.0,2000.0,Moderna,6.0,181
1998.0,1990.0,Clásica,8.0,182
1995.0,1990.0,Clásica,2.0,183
1996.0,1990.0,Clásica,1.0,184
2018.0,2010.0,Contemporánea,6.0,185
1998.0,1990.0,Clásica,1.0,186
2011.0,2010.0,Contemporánea,6.0,187
2004.0,2000.0,Moderna,5.0,188
2000.0,2000.0,Clásica,6.0,189
2004.0,2000.0,Moderna,4.0,190
2012.0,2010.0,Contemporánea,5.0,191
2005.0,2000.0,Moderna,7.0,192
1994.0,1990.0,Clásica,10.0,194
2017.0,2010.0,Contemporánea,7.0,195
1999.0,1990.0,Clásica,7.0,196
2014.0,2010.0,Contemporánea,12.0,197
2011.0,2010.0,Contemporánea,3.0,198
2001.0,2000.0,Moderna,9.0,199
2005.0,2000.0,Moderna,1.0,200
2017.0,2010.0,Contemporánea,2.0,201
2004.0,2000.0,Moderna,12.0,202
2013.0,2010.0,Contemporánea,4.0,203
