id_juego,id_plataforma,id_tiempo,id_rating_critico,global_sales,na_sales,jp_sales,eu_sales,other_sales,id_venta
1,1,347.0,1.0,20.32,6.37,0.99,9.85,3.12,1
1,2,321.0,2.0,19.39,6.06,0.6,9.71,3.02,2
2,3,263.0,3.0,16.15,8.41,0.47,5.49,1.78,3
3,2,326.0,5.0,15.09,6.18,0.41,6.05,2.44,4
4,4,329.0,6.0,14.82,9.07,0.13,4.29,1.33,5
5,4,341.0,7.0,14.74,9.76,0.11,3.73,1.14,6
6,2,359.0,8.0,13.94,5.26,0.21,6.21,2.26,7
7,4,298.0,9.0,13.86,8.27,0.07,4.32,1.2,8
7,1,298.0,10.0,13.8,4.99,0.65,5.88,2.28,9
8,4,312.0,11.0,13.53,8.54,0.08,3.63,1.28,10
9,2,271.0,5.0,13.4,4.67,0.4,6.21,2.12,11
4,1,329.0,7.0,13.35,5.54,0.49,5.78,1.54,12
10,3,280.0,11.0,13.1,6.99,0.3,4.51,1.3,13
5,1,341.0,6.0,12.67,6.01,0.48,4.4,1.78,14
11,2,271.0,12.0,11.8,1.27,0.15,8.64,1.73,15
12,4,274.0,13.0,11.09,6.8,0.14,3.11,1.04,16
13,2,319.0,14.0,10.94,1.26,0.12,7.95,1.61,17
8,1,312.0,11.0,10.61,4.99,0.38,3.66,1.59,18
12,1,274.0,13.0,10.57,4.79,0.44,3.73,1.62,19
14,4,347.0,15.0,10.41,6.76,0.04,2.64,0.98,20
14,1,347.0,16.0,10.13,4.11,0.39,4.01,1.62,21
15,4,341.0,17.0,9.97,7.08,0.08,2.01,0.8,22
17,4,305.0,3.0,9.41,5.98,0.13,2.39,0.91,23
20,4,329.0,17.0,8.88,5.1,0.1,2.83,0.85,24
1,5,321.0,18.0,8.72,4.7,0.01,3.25,0.76,25
21,2,319.0,19.0,8.48,3.11,0.19,3.83,1.36,26
22,2,326.0,20.0,8.48,2.91,0.27,3.97,1.34,27
23,2,326.0,21.0,8.22,1.15,0.07,5.77,1.23,28
24,2,326.0,22.0,8.03,3.31,0.23,3.19,1.3,29
26,6,312.0,21.0,7.96,1.01,0.0,6.46,0.5,30
27,7,247.0,7.0,7.72,2.9,0.24,2.83,1.74,31
28,2,321.0,21.0,7.53,2.84,0.14,3.34,1.22,32
29,4,274.0,21.0,7.5,4.88,0.0,1.91,0.71,33
30,4,329.0,21.0,7.35,4.47,0.06,2.12,0.69,34
31,2,319.0,23.0,7.26,2.2,0.29,3.65,1.12,35
30,1,329.0,21.0,7.21,2.86,0.35,2.94,1.07,36
32,3,254.0,20.0,7.2,3.27,0.08,2.83,1.02,37
33,3,238.0,12.0,6.9,2.71,0.08,3.02,1.09,38
35,3,263.0,18.0,6.83,2.93,0.17,2.75,0.99,39
36,1,312.0,11.0,6.74,3.28,0.21,2.22,1.02,40
17,1,305.0,11.0,6.72,3.13,0.28,2.27,1.04,41
37,1,329.0,24.0,6.65,0.84,0.11,4.33,1.37,42
39,1,329.0,11.0,6.57,2.82,0.17,2.58,1.0,43
39,4,341.0,11.0,6.5,3.77,0.09,2.03,0.6,44
